player_id,full_name,position,nfl_team,headshot_url
00-0033217,Mo Alie-Cox,TE,IND,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ivdxijcqlhfwsydxh6ox"
00-0033246,Johnny Mundt,TE,PHI,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gbsnomwbzavt5124vvaz"
00-0033293,Aaron Jones,RB,MIN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim"
00-0033303,Harrison Butker,K,KC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yphf8avl8ji0ncdohabz"
00-0035039,Stephen Carlson,TE,CHI,
00-0033857,JuJu Smith-Schuster,WR,NYG,
00-0033862,Zane Gonzalez,K,MIA,
00-0035045,D.J. Montgomery,WR,IND,
00-0035100,Jake Browning,QB,TB,
00-0033537,Deshaun Watson,QB,CLE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/otfs2docj6eahaebo5xn"
00-0035140,Mecole Hardman,WR,BUF,
00-0033662,Cooper Rush,QB,ATL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwrtykpswz7nbfisqlmj"
00-0033757,Robert Tonyan,TE,PIT,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/m8h8rzmxq4sjywitqnyb"
00-0033787,Jake Elliott,K,PHI,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gxy1mhbnz1p2nufkg8qz"
00-0033858,Jonnu Smith,TE,GB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/egd6llghj3n5wfdrqacw"
00-0033869,Mitchell Trubisky,QB,TEN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yxs7ix2pmcfv5k1qn1sk"
00-0033873,Patrick Mahomes,QB,KC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wdckwtob1lybvkmxnf7p"
00-0033881,Evan Engram,TE,DEN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nucl2dxmpvhlywhyro8o"
00-0035282,Easton Stick,QB,IND,
00-0033885,David Njoku,TE,LAC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/y4g1iayqrbrhdvkqywpx"
00-0035291,Trayveon Williams,RB,DET,
00-0034418,Cedrick Wilson Jr.,WR,DET,
00-0035298,Scott Miller,WR,CHI,
00-0035341,Trenton Irwin,WR,SF,
00-0035345,Chris Myarick,TE,LV,
00-0033906,Alvin Kamara,RB,NO,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yxebpuskandivlh2iil4"
00-0035359,David Sills,WR,TB,
00-0035500,Greg Dortch,WR,DET,
00-0033921,Chris Godwin Jr.,WR,TB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ilkheljdx4hbjpisulke"
00-0033949,Joshua Dobbs,QB,DET,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/twaqqjexyi0vgyfbvzis"
00-0035544,Tom Kennedy,WR,DET,
00-0035567,Craig Reynolds,RB,WAS,
00-0035589,Gary Jennings,WR,LAC,
00-0035594,Travis Homer,RB,PIT,
00-0035602,Alex Bachman,WR,LA,
00-0035628,D'Ernest Johnson,RB,TEN,
00-0034161,Daniel Carlson,K,NO,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gsvj7rtvqwbwdeho8whf"
00-0034270,Tyler Conklin,TE,DET,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/knjuzxnzsfjxwcjxp5en"
00-0034348,Courtland Sutton,WR,DEN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kqwmqcrlrwmqcvfuguhs"
00-0034351,Dallas Goedert,TE,PHI,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bafepstxu7vvxb9v5vua"
00-0034365,Ian Thomas,TE,LV,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gvpwnq0mjefjlekgzxro"
00-0034383,Dalton Schultz,TE,HOU,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ym8sbkev8l4scnrc0vd8"
00-0034577,Kyle Allen,QB,BUF,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s3vbqdcoc6oc6yh460v9"
00-0035700,Josh Jacobs,RB,GB,
00-0034753,Mark Andrews,TE,BAL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/u4xzz7tclch0tpzm9hhz"
00-0034771,Mason Rudolph,QB,PIT,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oadtxde6hxz1jgrs618o"
00-0034796,Lamar Jackson,QB,BAL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/eno6s5qzl9grbfbfwhoa"
00-0035806,JaMycal Hasty,RB,NE,
00-0035891,Cody White,WR,SEA,
00-0035924,Jonathan Ward,RB,BAL,
00-0033280,Christian McCaffrey,RB,SF,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/st82s2ytyzanatcmkqck"
00-0036020,Salvon Ahmed,RB,CHI,
00-0033288,George Kittle,TE,SF,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vkicdglglkyukgyxtmpx"
